# Interaction rate with the cosmic infrared and optical background radiation model of Stecker at al. 2005
# log10(E/eV)	1/lambda_PP [1/Mpc]	1/lambda_ICS [1/Mpc]	1/lambda_DPP [1/Mpc]	1/lambda_TPP [1/Mpc]
16.160	1.756026e-02	1.217044e-02	1.341962e-05	1.913771e-02
16.170	1.777398e-02	1.231576e-02	1.368096e-05	1.952726e-02
16.180	1.739582e-02	1.204486e-02	1.369843e-05	1.960587e-02
16.190	1.759709e-02	1.218098e-02	1.395787e-05	1.999485e-02
16.200	1.778141e-02	1.230593e-02	1.421146e-05	2.037831e-02
16.210	1.630329e-02	1.126340e-02	1.374365e-05	1.983762e-02
16.220	1.649387e-02	1.139252e-02	1.400520e-05	2.023384e-02
16.230	1.600828e-02	1.104797e-02	1.395743e-05	2.023333e-02
16.240	1.618390e-02	1.116628e-02	1.421493e-05	2.062664e-02
16.250	1.481850e-02	1.020666e-02	1.372969e-05	2.006125e-02
16.260	1.499827e-02	1.032825e-02	1.399472e-05	2.046790e-02
16.270	1.467702e-02	1.009982e-02	1.400542e-05	2.054499e-02
16.280	1.484657e-02	1.021396e-02	1.426855e-05	2.095127e-02
16.290	1.500145e-02	1.031837e-02	1.452529e-05	2.135117e-02
16.300	1.374937e-02	9.441221e-03	1.403092e-05	2.077200e-02
16.310	1.390973e-02	9.549278e-03	1.429592e-05	2.118545e-02
16.320	1.349400e-02	9.256361e-03	1.423709e-05	2.117566e-02
16.330	1.364189e-02	9.355548e-03	1.449785e-05	2.158608e-02
16.340	1.248618e-02	8.548646e-03	1.398798e-05	2.098193e-02
16.350	1.263731e-02	8.650330e-03	1.425613e-05	2.140579e-02
16.360	1.236489e-02	8.458002e-03	1.426101e-05	2.148141e-02
16.370	1.250759e-02	8.553633e-03	1.452728e-05	2.190507e-02
16.380	1.263759e-02	8.640814e-03	1.478661e-05	2.232139e-02
16.390	1.157839e-02	7.903699e-03	1.426940e-05	2.170366e-02
16.400	1.171323e-02	7.994022e-03	1.453732e-05	2.213430e-02
16.410	1.136427e-02	7.749772e-03	1.447289e-05	2.212075e-02
16.420	1.148857e-02	7.832765e-03	1.473627e-05	2.254808e-02
16.430	1.051160e-02	7.155022e-03	1.420529e-05	2.190501e-02
